('zotacF6', 'zotacF3', 'zotacG4', 'zotacG3')
('zotacF6', 'zotacF3', 'zotacG4', 'zotacE4')
('zotacF6', 'zotacF3', 'zotacG4', 'zotacI3')
('zotacF6', 'zotacF3', 'zotacI3', 'zotacF2')
('zotacF6', 'zotacF3', 'zotacI3', 'zotacD3')
('zotacF6', 'zotacF3', 'zotacI3', 'zotacH2')
('zotacF6', 'zotacF3', 'zotacI3', 'zotacH6')
('zotacF6', 'zotacF3', 'zotacI3', 'zotacE1')
('zotacF6', 'zotacF3', 'zotacI3', 'zotacG3')
('zotacF6', 'zotacF3', 'zotacI3', 'zotacG4')
('zotacF6', 'zotacD6', 'zotacF2', 'zotacF3')
('zotacF6', 'zotacD6', 'zotacF2', 'zotacD1')
('zotacF6', 'zotacD6', 'zotacF2', 'zotacD3')
('zotacF6', 'zotacD6', 'zotacF2', 'zotacE1')
('zotacF6', 'zotacD6', 'zotacF2', 'zotacC6')
('zotacF6', 'zotacD6', 'zotacF2', 'zotacG3')
('zotacF6', 'zotacD6', 'zotacF2', 'zotacE4')
('zotacF6', 'zotacD6', 'zotacF2', 'zotacG4')
('zotacF6', 'zotacD6', 'zotacF3', 'zotacF2')
('zotacF6', 'zotacD6', 'zotacF3', 'zotacD1')
('zotacF6', 'zotacD6', 'zotacF3', 'zotacD3')
('zotacF6', 'zotacD6', 'zotacF3', 'zotacE1')
('zotacF6', 'zotacD6', 'zotacF3', 'zotacC6')
('zotacF6', 'zotacD6', 'zotacF3', 'zotacG3')
('zotacF6', 'zotacD6', 'zotacF3', 'zotacE4')
('zotacF6', 'zotacD6', 'zotacF3', 'zotacG4')
('zotacF6', 'zotacD6', 'zotacD1', 'zotacF2')
('zotacF6', 'zotacD6', 'zotacD1', 'zotacF3')
('zotacF6', 'zotacD6', 'zotacD1', 'zotacD3')
('zotacF6', 'zotacD6', 'zotacD1', 'zotacE1')
('zotacF6', 'zotacD6', 'zotacD1', 'zotacC6')
('zotacF6', 'zotacD6', 'zotacD1', 'zotacE4')
('zotacF6', 'zotacD6', 'zotacD1', 'zotacG4')
('zotacF6', 'zotacD6', 'zotacD3', 'zotacF2')
('zotacF6', 'zotacD6', 'zotacD3', 'zotacF3')
('zotacF6', 'zotacD6', 'zotacD3', 'zotacD1')
('zotacF6', 'zotacD6', 'zotacD3', 'zotacE1')
('zotacF6', 'zotacD6', 'zotacD3', 'zotacC6')
('zotacF6', 'zotacD6', 'zotacD3', 'zotacG3')
('zotacF6', 'zotacD6', 'zotacD3', 'zotacE4')
('zotacF6', 'zotacD6', 'zotacD3', 'zotacG4')
('zotacF6', 'zotacD6', 'zotacE1', 'zotacF2')
('zotacF6', 'zotacD6', 'zotacE1', 'zotacF3')
('zotacF6', 'zotacD6', 'zotacE1', 'zotacD1')
('zotacF6', 'zotacD6', 'zotacE1', 'zotacD3')
('zotacF6', 'zotacD6', 'zotacE1', 'zotacC6')
('zotacF6', 'zotacD6', 'zotacE1', 'zotacG3')
('zotacF6', 'zotacD6', 'zotacE1', 'zotacE4')
('zotacF6', 'zotacD6', 'zotacE1', 'zotacG4')
('zotacF6', 'zotacD6', 'zotacC6', 'zotacF2')
('zotacF6', 'zotacD6', 'zotacC6', 'zotacF3')
('zotacF6', 'zotacD6', 'zotacC6', 'zotacD1')
('zotacF6', 'zotacD6', 'zotacC6', 'zotacD3')
('zotacF6', 'zotacD6', 'zotacC6', 'zotacE1')
('zotacF6', 'zotacD6', 'zotacC6', 'zotacE4')
('zotacF6', 'zotacD6', 'zotacG3', 'zotacF2')
('zotacF6', 'zotacD6', 'zotacG3', 'zotacF3')
('zotacF6', 'zotacD6', 'zotacG3', 'zotacD3')
('zotacF6', 'zotacD6', 'zotacG3', 'zotacE1')
('zotacF6', 'zotacD6', 'zotacG3', 'zotacE4')
('zotacF6', 'zotacD6', 'zotacG3', 'zotacG4')
('zotacF6', 'zotacD6', 'zotacE4', 'zotacF2')
('zotacF6', 'zotacD6', 'zotacE4', 'zotacF3')
('z'zotacF6', 'zotacE4', 'zotacF2', 'zotacG4')
('zotacF6', 'zotacE4', 'zotacF3', 'zotacF2')
('zotacF6', 'zotacE4', 'zotacF3', 'zotacD6')
('zotacF6', 'zotacE4', 'zotacF3', 'zotacD1')
('zotacF6', 'zotacE4', 'zotacF3', 'zotacD3')
('zotacF6', 'zotacE4', 'zotacF3', 'zotacH2')
('zotacF6', 'zotacE4', 'zotacF3', 'zotacH6')
('zotacF6', 'zotacE4', 'zotacF3', 'zotacE1')
('zotacF6', 'zotacE4', 'zotacF3', 'zotacC6')
('zotacF6', 'zotacE4', 'zotacF3', 'zotacG3')
('zotacF6', 'zotacE4', 'zotacF3', 'zotacG4')
('zotacF6', 'zotacE4', 'zotacD6', 'zotacF2')
('zotacF6', 'zotacE4', 'zotacD6', 'zotacF3')
('zotacF6', 'zotacE4', 'zotacD6', 'zotacD1')
('zotacF6', 'zotacE4', 'zotacD6', 'zotacD3')
('zotacF6', 'zotacE4', 'zotacD6', 'zotacE1')
('zotacF6', 'zotacE4', 'zotacD6', 'zotacC6')
('zotacF6', 'zotacE4', 'zotacD6', 'zotacG3')
('zotacF6', 'zotacE4', 'zotacD6', 'zotacG4')
('zotacF6', 'zotacE4', 'zotacD1', 'zotacF2')
('zotacF6', 'zotacE4', 'zotacD1', 'zotacF3')
('zotacF6', 'zotacE4', 'zotacD1', 'zotacD6')
('zotacF6', 'zotacE4', 'zotacD1', 'zotacD3')
('zotacF6', 'zotacE4', 'zotacD1', 'zotacH2')
('zotacF6', 'zotacE4', 'zotacD1', 'zotacE1')
('zotacF6', 'zotacE4', 'zotacD1', 'zotacC6')
('zotacF6', 'zotacE4', 'zotacD1', 'zotacG4')
('zotacF6', 'zotacE4', 'zotacD3', 'zotacF2')
('zotacF6', 'zotacE4', 'zotacD3', 'zotacF3')
('zotacF6', 'zotacE4', 'zotacD3', 'zotacD6')
('zotacF6', 'zotacE4', 'zotacD3', 'zotacD1')
('zotacF6', 'zotacE4', 'zotacD3', 'zotacH2')
('zotacF6', 'zotacE4', 'zotacD3', 'zotacH6')
('zotacF6', 'zotacE4', 'zotacD3', 'zotacE1')
('zotacF6', 'zotacE4', 'zotacD3', 'zotacC6')
('zotacF6', 'zotacE4', 'zotacD3', 'zotacG3')
('zotacF6', 'zotacE4', 'zotacD3', 'zotacG4')
('zotacF6', 'zotacE4', 'zotacH2', 'zotacF2')
('zotacF6', 'zotacE4', 'zotacH2', 'zotacF3')
('zotacF6', 'zotacE4', 'zotacH2', 'zotacD1')
('zotacF6', 'zotacE4', 'zotacH2', 'zotacD3')
('zotacF6', 'zotacE4', 'zotacH2', 'zotacH6')
('zotacF6', 'zotacE4', 'zotacH2', 'zotacE1')
('zotacF6', 'zotacE4', 'zotacH2', 'zotacG3')
('zotacF6', 'zotacE4', 'zotacH2', 'zotacG4')
('zotacF6', 'zotacE4', 'zotacH6', 'zotacF2')
('zotacF6', 'zotacE4', 'zotacH6', 'zotacF3')
('zotacF6', 'zotacE4', 'zotacH6', 'zotacD3')
('zotacF6', 'zotacE4', 'zotacH6', 'zotacH2')
('zotacF6', 'zotacE4', 'zotacH6', 'zotacE1')
('zotacF6', 'zotacE4', 'zotacH6', 'zotacG3')
('zotacF6', 'zotacE4', 'zotacH6', 'zotacG4')
('zotacF6', 'zotacE4', 'zotacE1', 'zotacF2')
('zotacF6', 'zotacE4', 'zotacE1', 'zotacF3')
('zotacF6', 'zotacE4', 'zotacE1', 'zotacD6')
('zotacF6', 'zotacE4', 'zotacE1', 'zotacD1')
('zotacF6', 'zotacE4', 'zotacE1', 'zotacD3')
('zotacF6', 'zotacE4', 'zotacE1', 'zotacH2')
('zotacF6', 'zotacE4', 'zotacE1', 'zotacH6')
('zotacF6', 'zotacE4', 'zotacE1', 'zotacC6')
('zotacF6', 'zotacE4', 'zotacE1', 'zotacG3')
('zotacF6', 'zotacE4', 'zotacE1', 'zotacG4')
('zotacF6', 'zotacE4', 'zotacC6', 'zotacF2')
('zotacF6', 'zotacE4', 'zotacC6', 'zotacF3')
('zotacF6', 'zotacE4', 'zotacC6', 'zotacD6')
('zotacF6', 'zotacE4', 'zotacC6', 'zotacD1')
('zotacF6', 'zotacE4', 'zotacC6', 'zotacD3')
('zotacF6', 'zotacE4', 'zotacC6', 'zotacE1')
('zotacF6', 'zotacE4', 'zotacG3', 'zotacF2')
('zotacF6', 'zotacE4', 'zotacG3', 'zotacF3')
('zotacF6', 'zotacE4', 'zotacG3', 'zotacD6')
('zotacF6', 'zotacE4', 'zotacG3', 'zotacD3')
('zotacF6', 'zotacE4', 'zotacG3', 'zotacH2')
